region_code,alias,normalized_alias,priority
1224000000,광주 서구,광주서구,15
4161000000,광주시,광주시,20
1200000000,광주시,광주시,30
1233000000,광주시 광산,광주시광산,45
1233000000,광주시 광산구,광주시광산구,15
1227000000,광주시 남,광주시남,45
1227000000,광주시 남구,광주시남구,15
1221000000,광주시 동,광주시동,45
1221000000,광주시 동구,광주시동구,15
1230000000,광주시 북,광주시북,45
1230000000,광주시 북구,광주시북구,15
1224000000,광주시 서,광주시서,45
1224000000,광주시 서구,광주시서구,15
1121500000,광진,광진,50
1121500000,광진구,광진구,20
4376000000,괴산,괴산,50
4376000000,괴산군,괴산군,20
1273000000,구례,구례,50
1273000000,구례군,구례군,20
1153000000,구로,구로,50
1153000000,구로구,구로구,20
4131000000,구리,구리,50
4131000000,구리시,구리시,20
4719000000,구미,구미,50
4719000000,구미시,구미시,20
5213000000,군산,군산,50
5213000000,군산시,군산시,20
2772000000,군위,군위,50
2772000000,군위군,군위군,20
4141000000,군포,군포,50
4141000000,군포시,군포시,20
4471000000,금산,금산,50
4471000000,금산군,금산군,20
2641000000,금정,금정,50
2641000000,금정구,금정구,20
1154500000,금천,금천,50
1154500000,금천구,금천구,20
2671000000,기장,기장,50
2671000000,기장군,기장군,20
5221000000,김제,김제,50
5221000000,김제시,김제시,20
4715000000,김천,김천,50
4715000000,김천시,김천시,20
4157000000,김포,김포,50
4157000000,김포시,김포시,20
4825000000,김해,김해,50
4825000000,김해시,김해시,20
1217000000,나주,나주,50
1217000000,나주시,나주시,20
1227000000,남,남,50
2629000000,남,남,50
2720000000,남,남,50
3114000000,남,남,50
1227000000,남구,남구,20
2629000000,남구,남구,20
2720000000,남구,남구,20
3114000000,남구,남구,20
2820000000,남동,남동,50
2820000000,남동구,남동구,20
4136000000,남양주,남양주,50
4136000000,남양주시,남양주시,20
5219000000,남원,남원,50
5219000000,남원시,남원시,20
4884000000,남해,남해,50
4884000000,남해군,남해군,20
1135000000,노원,노원,50
1135000000,노원구,노원구,20
4423000000,논산,논산,50
4423000000,논산시,논산시,20
4380000000,단양,단양,50
4380000000,단양군,단양군,20
2729000000,달서,달서,50
2729000000,달서구,달서구,20
2771000000,달성,달성,50
2771000000,달성군,달성군,20
1271000000,담양,담양,50
1271000000,담양군,담양군,20
4427000000,당진,당진,50
4427000000,당진시,당진시,20
2700000000,대구,대구,30
2700000000,대구광역시,대구광역시,10
2772000000,대구광역시 군위군,대구광역시군위군,10
2720000000,대구광역시 남구,대구광역시남구,10
2729000000,대구광역시 달서구,대구광역시달서구,10
2771000000,대구광역시 달성군,대구광역시달성군,10
2714000000,대구광역시 동구,대구광역시동구,10
2723000000,대구광역시 북구,대구광역시북구,10
2717000000,대구광역시 서구,대구광역시서구,10
2726000000,대구광역시 수성구,대구광역시수성구,10
2711000000,대구광역시 중구,대구광역시중구,10
2772000000,대구 군위,대구군위,45
2772000000,대구 군위군,대구군위군,15
2720000000,대구 남,대구남,45
2720000000,대구 남구,대구남구,15
2729000000,대구 달서,대구달서,45
2729000000,대구 달서구,대구달서구,15
2771000000,대구 달성,대구달성,45
2771000000,대구 달성군,대구달성군,15
2714000000,대구 동,대구동,45
2714000000,대구 동구,대구동구,15
2723000000,대구 북,대구북,45
2723000000,대구 북구,대구북구,15
2717000000,대구 서,대구서,45
2717000000,대구 서구,대구서구,15
2726000000,대구 수성,대구수성,45
2726000000,대구 수성구,대구수성구,15
2700000000,대구시,대구시,30
2772000000,대구시 군위,대구시군위,45
2772000000,대구시 군위군,대구시군위군,15
2720000000,대구시 남,대구시남,45
2720000000,대구시 남구,대구시남구,15
2729000000,대구시 달서,대구시달서,45
2729000000,대구시 달서구,대구시달서구,15
2771000000,대구시 달성,대구시달성,45
2771000000,대구시 달성군,대구시달성군,15
2714000000,대구시 동,대구시동,45
2714000000,대구시 동구,대구시동구,15
2723000000,대구시 북,대구시북,45
2723000000,대구시 북구,대구시북구,15
2717000000,대구시 서,대구시서,45
2717000000,대구시 서구,대구시서구,15
2726000000,대구시 수성,대구시수성,45
2726000000,대구시 수성구,대구시수성구,15
2711000000,대구시 중,대구시중,45
2711000000,대구시 중구,대구시중구,15
2711000000,대구 중,대구중,45
2711000000,대구 중구,대구중구,15
3023000000,대덕,대덕,50
3023000000,대덕구,대덕구,20
3000000000,대전,대전,30
3000000000,대전광역시,대전광역시,10
3023000000,대전광역시 대덕구,대전광역시대덕구,10
3011000000,대전광역시 동구,대전광역시동구,10
3017000000,대전광역시 서구,대전광역시서구,10
3020000000,대전광역시 유성구,대전광역시유성구,10
3014000000,대전광역시 중구,대전광역시중구,10
3023000000,대전 대덕,대전대덕,45
3023000000,대전 대덕구,대전대덕구,15
3011000000,대전 동,대전동,45
3011000000,대전 동구,대전동구,15
3017000000,대전 서,대전서,45
3017000000,대전 서구,대전서구,15
3000000000,대전시,대전시,30
3023000000,대전시 대덕,대전시대덕,45
3023000000,대전시 대덕구,대전시대덕구,15
3011000000,대전시 동,대전시동,45
3011000000,대전시 동구,대전시동구,15
3017000000,대전시 서,대전시서,45
3017000000,대전시 서구,대전시서구,15
3020000000,대전시 유성,대전시유성,45
3020000000,대전시 유성구,대전시유성구,15
3014000000,대전시 중,대전시중,45
3014000000,대전시 중구,대전시중구,15
3020000000,대전 유성,대전유성,45
3020000000,대전 유성구,대전유성구,15
3014000000,대전 중,대전중,45
3014000000,대전 중구,대전중구,15
1132000000,도봉,도봉,50
1132000000,도봉구,도봉구,20
1221000000,동,동,50
2617000000,동,동,50
2714000000,동,동,50
3011000000,동,동,50
3117000000,동,동,50
1221000000,동구,동구,20
2617000000,동구,동구,20
2714000000,동구,동구,20
3011000000,동구,동구,20
3117000000,동구,동구,20
1123000000,동대문,동대문,50
1123000000,동대문구,동대문구,20
4125000000,동두천,동두천,50
4125000000,동두천시,동두천시,20
2626000000,동래,동래,50
2626000000,동래구,동래구,20
1159000000,동작,동작,50
1159000000,동작구,동작구,20
5117000000,동해,동해,50
5117000000,동해시,동해시,20
1144000000,마포,마포,50
1144000000,마포구,마포구,20
1211000000,목포,목포,50
1211000000,목포시,목포시,20
1281000000,무안,무안,50
1281000000,무안군,무안군,20
5273000000,무주,무주,50
5273000000,무주군,무주군,20
4728000000,문경,문경,50
4728000000,문경시,문경시,20
2817700000,미추홀,미추홀,50
2817700000,미추홀구,미추홀구,20
4827000000,밀양,밀양,50
4827000000,밀양시,밀양시,20
4418000000,보령,보령,50
4418000000,보령시,보령시,20
1275000000,보성,보성,50
1275000000,보성군,보성군,20
4372000000,보은,보은,50
4372000000,보은군,보은군,20
4792000000,봉화,봉화,50
4792000000,봉화군,봉화군,20
2600000000,부산,부산,30
2644000000,부산 강서,부산강서,45
2644000000,부산 강서구,부산강서구,15
2600000000,부산광역시,부산광역시,10
2644000000,부산광역시 강서구,부산광역시강서구,10
2641000000,부산광역시 금정구,부산광역시금정구,10
2671000000,부산광역시 기장군,부산광역시기장군,10
2629000000,부산광역시 남구,부산광역시남구,10
2617000000,부산광역시 동구,부산광역시동구,10
2626000000,부산광역시 동래구,부산광역시동래구,10
2623000000,부산광역시 부산진구,부산광역시부산진구,10
2632000000,부산광역시 북구,부산광역시북구,10
2653000000,부산광역시 사상구,부산광역시사상구,10
2638000000,부산광역시 사하구,부산광역시사하구,10
2614000000,부산광역시 서구,부산광역시서구,10
2650000000,부산광역시 수영구,부산광역시수영구,10
2647000000,부산광역시 연제구,부산광역시연제구,10
2620000000,부산광역시 영도구,부산광역시영도구,10
2611000000,부산광역시 중구,부산광역시중구,10
2635000000,부산광역시 해운대구,부산광역시해운대구,10
2641000000,부산 금정,부산금정,45
2641000000,부산 금정구,부산금정구,15
2671000000,부산 기장,부산기장,45
2671000000,부산 기장군,부산기장군,15
2629000000,부산 남,부산남,45
2629000000,부산 남구,부산남구,15
2617000000,부산 동,부산동,45
2617000000,부산 동구,부산동구,15
2626000000,부산 동래,부산동래,45
2626000000,부산 동래구,부산동래구,15
2623000000,부산 부산진,부산부산진,45
2623000000,부산 부산진구,부산부산진구,15
2632000000,부산 북,부산북,45
2632000000,부산 북구,부산북구,15
2653000000,부산 사상,부산사상,45
2653000000,부산 사상구,부산사상구,15
2638000000,부산 사하,부산사하,45
2638000000,부산 사하구,부산사하구,15
2614000000,부산 서,부산서,45
2614000000,부산 서구,부산서구,15
2650000000,부산 수영,부산수영,45
2650000000,부산 수영구,부산수영구,15
2600000000,부산시,부산시,30
2644000000,부산시 강서,부산시강서,45
2644000000,부산시 강서구,부산시강서구,15
2641000000,부산시 금정,부산시금정,45
2641000000,부산시 금정구,부산시금정구,15
2671000000,부산시 기장,부산시기장,45
2671000000,부산시 기장군,부산시기장군,15
2629000000,부산시 남,부산시남,45
2629000000,부산시 남구,부산시남구,15
2617000000,부산시 동,부산시동,45
2617000000,부산시 동구,부산시동구,15
2626000000,부산시 동래,부산시동래,45
2626000000,부산시 동래구,부산시동래구,15
2623000000,부산시 부산진,부산시부산진,45
2623000000,부산시 부산진구,부산시부산진구,15
2632000000,부산시 북,부산시북,45
2632000000,부산시 북구,부산시북구,15
2653000000,부산시 사상,부산시사상,45
2653000000,부산시 사상구,부산시사상구,15
2638000000,부산시 사하,부산시사하,45
2638000000,부산시 사하구,부산시사하구,15
2614000000,부산시 서,부산시서,45
2614000000,부산시 서구,부산시서구,15
2650000000,부산시 수영,부산시수영,45
2650000000,부산시 수영구,부산시수영구,15
2647000000,부산시 연제,부산시연제,45
2647000000,부산시 연제구,부산시연제구,15
2620000000,부산시 영도,부산시영도,45
2620000000,부산시 영도구,부산시영도구,15
2611000000,부산시 중,부산시중,45
2611000000,부산시 중구,부산시중구,15
2635000000,부산시 해운대,부산시해운대,45
2635000000,부산시 해운대구,부산시해운대구,15
2647000000,부산 연제,부산연제,45
2647000000,부산 연제구,부산연제구,15
2620000000,부산 영도,부산영도,45
2620000000,부산 영도구,부산영도구,15
2611000000,부산 중,부산중,45
2611000000,부산 중구,부산중구,15
2623000000,부산진,부산진,50
2623000000,부산진구,부산진구,20
2635000000,부산 해운대,부산해운대,45
2635000000,부산 해운대구,부산해운대구,15
5280000000,부안,부안,50
5280000000,부안군,부안군,20
4476000000,부여,부여,50
4476000000,부여군,부여군,20
4119000000,부천,부천,50
4119000000,부천시,부천시,20
2823700000,부평,부평,50
2823700000,부평구,부평구,20
1230000000,북,북,50
2632000000,북,북,50
2723000000,북,북,50
3120000000,북,북,50
1230000000,북구,북구,20
2632000000,북구,북구,20
2723000000,북구,북구,20
3120000000,북구,북구,20
2653000000,사상,사상,50
2653000000,사상구,사상구,20
4824000000,사천,사천,50
4824000000,사천시,사천시,20
2638000000,사하,사하,50
2638000000,사하구,사하구,20
4886000000,산청,산청,50
4886000000,산청군,산청군,20
5123000000,삼척,삼척,50
5123000000,삼척시,삼척시,20
4725000000,상주,상주,50
4725000000,상주시,상주시,20
1224000000,서,서,50
2614000000,서,서,50
2717000000,서,서,50
3017000000,서,서,50
1224000000,서구,서구,20
2614000000,서구,서구,20
2717000000,서구,서구,20
3017000000,서구,서구,20
5013000000,서귀포,서귀포,50
5013000000,서귀포시,서귀포시,20
1141000000,서대문,서대문,50
1141000000,서대문구,서대문구,20
4421000000,서산,서산,50
4421000000,서산시,서산시,20
1100000000,서울,서울,30
1168000000,서울 강남,서울강남,45
1168000000,서울 강남구,서울강남구,15
1174000000,서울 강동,서울강동,45
1174000000,서울 강동구,서울강동구,15
1130500000,서울 강북,서울강북,45
1130500000,서울 강북구,서울강북구,15
1150000000,서울 강서,서울강서,45
1150000000,서울 강서구,서울강서구,15
1162000000,서울 관악,서울관악,45
1162000000,서울 관악구,서울관악구,15
1121500000,서울 광진,서울광진,45
1121500000,서울 광진구,서울광진구,15
1153000000,서울 구로,서울구로,45
1153000000,서울 구로구,서울구로구,15
1154500000,서울 금천,서울금천,45
1154500000,서울 금천구,서울금천구,15
1135000000,서울 노원,서울노원,45
1135000000,서울 노원구,서울노원구,15
1132000000,서울 도봉,서울도봉,45
1132000000,서울 도봉구,서울도봉구,15
1123000000,서울 동대문,서울동대문,45
1123000000,서울 동대문구,서울동대문구,15
